<b>[Разгон (Основы ML)] Задача 1. Train/val/test split</b><br><br><p>Датасет содержит 5000 образцов. Разделите выборку на Train, Validation и Test в пропорции 60% / 20% / 20%.</p>	<p>Train: $5000 \times 0.60 = 3000$ объектов.</p> <p>Validation: $5000 \times 0.20 = 1000$ объектов.</p> <p>Test: $5000 \times 0.20 = 1000$ объектов.</p> <p>Контроль: $3000 + 1000 + 1000 = 5000$ ✓.</p>	AI_Course Block_A Microtask Ticket_00
<b>[Разгон (Основы ML)] Задача 2. Расчёт числа итераций и эпох</b><br><br><p>Выборка $N = 8000$, батч $B = 32$, эпох $E = 50$. Найдите число итераций за эпоху и суммарно шагов.</p>	<p>1. Итераций за эпоху: $K = \dfrac{N}{B} = \dfrac{8000}{32} = 250$.</p> <p>2. Суммарно шагов: $N_{\text{total}} = 250 \times 50 = 12\,500$.</p>	AI_Course Block_A Microtask Ticket_00
<b>[Разгон (Основы ML)] Задача 3. Расчёт метрик по Confusion Matrix</b><br><br><p>Дано: $\text{TP} = 40, \text{FP} = 5, \text{FN} = 10, \text{TN} = 45$. Вычислите Accuracy, Precision, Recall и F1-score.</p>	<p>$\text{Accuracy} = \dfrac{40 + 45}{100} = 0.85 = 85\%$</p> <p>$\text{Precision} = \dfrac{40}{40 + 5} = \dfrac{40}{45} \approx 88.89\%$</p> <p>$\text{Recall} = \dfrac{40}{40 + 10} = \dfrac{40}{50} = 80.0\%$</p> <p>$F_1 = \dfrac{2 \cdot 0.8889 \cdot 0.80}{0.8889 + 0.80} \approx 84.21\%$</p>	AI_Course Block_A Microtask Ticket_00
<b>[Разгон (Основы ML)] Задача 4. Анализ тривиального классификатора при дисбалансе</b><br><br><p>Выборка: 900 объектов класса 0 и 100 класса 1. Модель константно выдаёт 0. Найдите Accuracy и Recall класса 1.</p>	<p>$\text{TP} = 0, \text{FP} = 0, \text{FN} = 100, \text{TN} = 900$.</p> <p>$\text{Accuracy} = \dfrac{0 + 900}{1000} = 90\%$ (иллюзия качества).</p> <p>$\text{Recall}_{\text{class 1}} = \dfrac{0}{0 + 100} = 0\%$ (пропущены все целевые события).</p>	AI_Course Block_A Microtask Ticket_00
<b>[Разгон (Основы ML)] Задача 5. Сравнение робастности MSE и MAE к выбросу</b><br><br><p>Истинные $y = [1, 2, 3, 4, 100]$, предсказания $\hat{y} = [2, 2, 3, 4, 50]$, ошибки $e = [-1, 0, 0, 0, 50]$. Рассчитайте MSE и MAE.</p>	<p>$\text{MSE} = \dfrac{(-1)^2 + 0 + 0 + 0 + 50^2}{5} = \dfrac{2501}{5} = 500.2$</p> <p>$\text{MAE} = \dfrac{|-1| + 0 + 0 + 0 + |50|}{5} = \dfrac{51}{5} = 10.2$</p> <p><strong>Вывод:</strong> MSE чувствителен к выбросу ($50^2 = 2500$); MAE робастна.</p>	AI_Course Block_A Microtask Ticket_00
<b>[Разгон (Основы ML)] Задача 6. Анализ шага градиентного спуска при разном learning rate</b><br><br><p>$L(\theta) = (\theta - 5)^2$, $\theta_0 = 0$, $\nabla L(0) = -10$. Найдите $\theta_1$ при $\eta = 0.1$ и $\eta = 1.0$.</p>	<p>1. При $\eta = 0.1$: $\theta_1 = 0 - 0.1 \cdot (-10) = 1.0$ ($L(1) = 16 < 25$, сходимость).</p> <p>2. При $\eta = 1.0$: $\theta_1 = 0 - 1.0 \cdot (-10) = 10.0$ ($L(10) = 25 = L(0)$, осцилляция).</p>	AI_Course Block_A Microtask Ticket_00
<b>[Билет 1: Полносвязные сети, Активации, Backprop] Задача 1. Прямой проход одиночного нейрона с Sigmoid</b><br><br><p>Веса $w = [0.5, -0.6]^\top$, $b = 0.1$, активация Sigmoid. Вход $x = [2.0, 1.0]^\top$. Найдите $z$ и $a$.</p>	<p>1. Предактивация: $z = 0.5(2.0) + (-0.6)(1.0) + 0.1 = 1.0 - 0.6 + 0.1 = 0.5$.</p> <p>2. Активация: $a = \sigma(0.5) = \dfrac{1}{1 + e^{-0.5}} \approx \dfrac{1}{1 + 0.6065} \approx 0.6225$.</p>	AI_Course Block_A Microtask Ticket_01
<b>[Билет 1: Полносвязные сети, Активации, Backprop] Задача 2. Вычисление производных функций активации в нуле</b><br><br><p>Найдите значения производных $\sigma'(0)$ и $\tanh'(0)$. Сравните их величину.</p>	<p>1. $\sigma(0) = 0.5 \implies \sigma'(0) = 0.5(1 - 0.5) = 0.25$.</p> <p>2. $\tanh(0) = 0 \implies \tanh'(0) = 1 - 0^2 = 1.0$.</p> <p><strong>Вывод:</strong> Градиент Tanh в нуле в 4 раза выше ($\frac{1.0}{0.25}=4$), ускоряя сходимость.</p>	AI_Course Block_A Microtask Ticket_01
<b>[Билет 1: Полносвязные сети, Активации, Backprop] Задача 3. Подсчёт обучаемых параметров в 3-слойном MLP</b><br><br><p>MLP: вход $n_0 = 784$, скрытые слои $n_1 = 256$, $n_2 = 128$, выход $n_3 = 10$. Все слои с bias. Найдите общее число параметров.</p>	<p>Слой 1: $256 \times 784 + 256 = 200\,960$.</p> <p>Слой 2: $128 \times 256 + 128 = 32\,896$.</p> <p>Слой 3: $10 \times 128 + 10 = 1290$.</p> <p><strong>Всего:</strong> $200\,960 + 32\,896 + 1290 = 235\,146$ параметров.</p>	AI_Course Block_A Microtask Ticket_01
<b>[Билет 1: Полносвязные сети, Активации, Backprop] Задача 4. Градиент весов выходного слоя при MSE</b><br><br><p>Выход $\hat{y} = 2.4$, истина $y = 3.0$, активации входа $a^{L-1} = [0.5, 1.2]^\top$, $L = \frac{1}{2}(\hat{y}-y)^2$. Найдите $\frac{\partial L}{\partial W^L}$.</p>	<p>1. Ошибка выхода: $\delta^L = \hat{y} - y = 2.4 - 3.0 = -0.6$.</p> <p>2. Градиент: $\frac{\partial L}{\partial W^L} = \delta^L (a^{L-1})^\top = -0.6 \cdot [0.5, 1.2] = [-0.30, -0.72]$.</p>	AI_Course Block_A Microtask Ticket_01
